Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
15,2,1,6,7,1,1,1,1,1,5,6,6,6,5,4,4,7,3,7,女,18-24岁,本科,1-2小时,2,2,3,3,4,6,6,7,1,5.6,5,1,1,1
16,2,2,5,4,6,7,6,7,7,7,6,5,5,6,4,4,5,4,6,女,18-24岁,本科,2小时以上,2,2,3,4,5,4,5,4,6.6,5.8,4.6,1,0,0
17,2,2,7,1,2,6,1,2,1,1,2,2,4,2,6,7,6,7,7,女,18-24岁,本科,2小时以上,2,2,3,4,6,6,6,7,2.4,2.2,6.6,1,0,0
18,1,2,1,1,6,7,7,7,7,1,3,3,6,6,1,1,3,5,3,女,18-24岁,本科,1-2小时,2,2,3,3,6,4,2,2,6.8,3.8,2.6,0,0,0
19,2,1,6,7,6,2,1,1,1,5,6,6,6,6,4,6,7,5,6,女,18-24岁,本科,2小时以上,2,2,3,4,2,5,5,5,2.2,5.8,5.6,1,1,1
20,1,2,2,1,6,7,6,7,6,2,3,2,3,3,2,3,4,5,5,男,18-24岁,硕士及以上,1-2小时,1,2,4,3,5,5,5,5,6.4,2.6,3.8,0,0,0
21,1,1,2,3,5,4,3,3,5,4,4,4,4,5,3,3,6,6,4,女,18-24岁,大专,30-60分钟,2,2,2,2,4,5,4,5,4,4.2,4.4,0,1,0
22,1,2,1,1,7,7,6,7,7,2,3,1,6,3,2,3,3,6,5,女,18-24岁,本科,30-60分钟,2,2,3,2,6,3,5,2,6.8,3,3.8,0,0,0
23,1,1,2,3,5,5,4,4,6,5,5,6,6,5,4,4,5,4,4,女,18-24岁,本科,30-60分钟,2,2,3,2,3,4,5,4,4.8,5.4,4.2,0,1,0
24,2,2,5,4,6,4,4,4,5,3,6,5,7,6,3,5,5,5,5,女,18-24岁,本科,2小时以上,2,2,3,4,4,5,5,3,4.6,5.4,4.6,1,0,0
25,1,1,2,6,2,3,3,2,2,4,2,2,6,6,6,7,7,6,7,男,18-24岁,本科,30-60分钟,1,2,3,2,4,6,6,7,2.4,4,6.6,0,1,0
26,1,1,1,7,1,2,1,2,1,2,3,1,6,7,6,5,7,4,5,男,18-24岁,大专,2小时以上,1,2,2,4,3,7,5,5,1.4,3.8,5.4,0,1,0
27,2,2,7,2,5,6,6,7,5,4,5,6,6,6,5,5,5,6,5,男,18-24岁,本科,30-60分钟,1,2,3,2,5,6,6,5,5.8,5.4,5.2,1,0,0
28,2,1,7,7,2,1,2,2,1,7,5,6,5,5,7,5,6,7,7,男,18-24岁,本科,1-2小时,1,2,3,3,2,7,5,6,1.6,5.6,6.4,1,1,1
29,1,2,1,1,7,7,7,7,7,2,5,5,5,5,3,3,3,4,4,男,18-24岁,本科,2小时以上,1,2,3,4,6,4,5,3,7,4.4,3.4,0,0,0
30,1,1,1,5,3,3,2,4,3,6,5,5,5,5,5,6,5,6,5,男,18-24岁,本科,2小时以上,1,2,3,4,4,3,4,3,3,5.2,5.4,0,1,0
31,2,2,5,4,5,5,4,5,6,4,4,3,4,4,6,5,5,6,5,女,18-24岁,本科,2小时以上,2,2,3,4,4,5,4,4,5,3.8,5.4,1,0,0
